Posted At,Job Title,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Active 4 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Epazz-Inc?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0nn2hjjl0j802&fromjk=cb9f9ead2f2fa2ec,Lahore,Full-time,,No experience required,No specific education required,"We are looking for experienced Python/AI developers with excellent skill sets who can join our company and produce world-class applications.
Expertise in Django Framework (Python Web), Python, Google Maps Api, Linux, HTML5, CSS, JavaScript, JSON, JQuery, .Net Framework, C#, Web Services
Expertise in object-oriented and data structure
Expertise in SQL Server and database design
Investigates new technologies and techniques and researches ongoing industry developments
Designing, coding, testing, documenting, and deploying global applications based on system and user requirements
Expert knowledge in analyzing, designing, and developing solutions to highly complex problems
Experience in a microservices architecture
Knowledge of using Amazon RDS, S3, CodeCommit
Excellent English communication skills
Responsibilities and Duties
Software development by following requirements specifications
Enhance existing systems by analyzing business objectives, preparing an action plan and identifying areas for modification and improvement
Manage defect tracking system and resolve all issues and prepare updates for systems.
Investigate and develop skills in new technologies
Create technical specifications
Job Type: Full-time"
Active 2 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Mavenup-Creatives-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0nnl2sj6cj805&fromjk=90006468268ab6c4,Lahore Bahria Town,Full-time,,No experience required,No specific education required,"Job Description:
We are looking for a passionate Python developer to join our team at Mavenup Creatives.
You will be responsible for developing and implementing high-quality software solutions, creating complex applications using cutting-edge programming features and frameworks and collaborating with other teams in the firm to define, design, and ship new features.
As an active part of our company, you will brainstorm and chalk out solutions to suit our requirements and meet our business goals. You will also be working on data engineering problems and building data pipelines. You would get ample opportunities to work on challenging and innovative projects, using the latest technologies and tools.
Objectives of this role
Develop, test and maintain high-quality software using Python programming language.
Participate in the entire software development lifecycle, building, testing, and delivering high-quality solutions.
Collaborate with cross-functional teams to identify and solve complex problems.
Write clean and reusable code that can be easily maintained and scaled.
Your tasks
Create large-scale data processing pipelines to help developers build and train novel machine learning algorithms.
Participate in code reviews, ensure code quality and identify areas for improvement to implement practical solutions.
Debugging codes when required and troubleshooting any Python-related queries.
Keep up to date with emerging trends and technologies in Python development.
Required skills and qualifications
2 years of experience as a Python Developer with a strong portfolio of projects.
Bachelor's degree in Computer Science, Software Engineering or a related field.
In-depth understanding of the Python software development stacks, ecosystems, frameworks and tools such as Numpy, Scipy, Pandas, Dask, spaCy, NLTK, sci-kit-learn, and PyTorch.
Experience with front-end development using HTML, CSS, and JavaScript.
Familiarity with database technologies such as SQL and NoSQL.
Excellent problem-solving ability with solid communication and collaboration skills.
Preferred skills and qualifications
Experience with popular Python frameworks such as Django, Flask or Pyramid.
Knowledge of data science and machine learning concepts and tools.
A working understanding of cloud platforms such as AWS, Google Cloud, or Azure.
Contributions to open-source Python projects or active involvement in the Python community.
Job Type: Full-time"
Active 2 days ago,"Backend Python Developer
- job post",https://pk.indeed.com/cmp/Vacon.ai?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0nnv30jk9m800&fromjk=02390b9d600bba06,Lahore,Full-time,,No experience required,No specific education required,"Role Responsibilities
Design, develop, and maintain robust software applications using Python, ensuring high performance and responsiveness to requests from the front end.
Work closely with cross-functional teams to define, design, and ship new features, contributing to all phases of the development lifecycle.
Troubleshoot and resolve bugs/flaws in applications to ensure optimal functionality and user experience.
Continuously discover, evaluate, and integrate new technologies and frameworks to maximize development efficiency and stay ahead of the curve.
Leverage experience with databases like PostgreSQL and third-party APIs. Implement asynchronous programming models to improve application scalability and performance.
Qualifications:
3-5 years of experience as a backend engineer, with a strong focus on Python and its popular frameworks (FastAPI, asyncio, etc.).
Proficient in working with databases (e.g PostgreSQL) and familiar with API development.
A background in AI/ML and experience in hugging face would be a huge plus.
Experience working with consumer-facing applications is highly desirable
Exceptional problem-solving skills and the ability to think algorithmically.
Proven track record of working on numerous backend projects, preferably with experience involving US/UK clients. Fluent in English, with excellent communication skills to effectively collaborate with team members and clients.
Bachelor's degree in Computer Science, Engineering, or a related field, or equivalent knowledge acquired through self-study.
Job Type: Full-time
Application Question(s):
Are you comfortable with onsite job?
Expected Salary?
How many years of experience do you have in Python?
How many years of experience do you have in SQL?
What will be your expected joining date?"
Active 2 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Trimulabs?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0no2p5jrgs870&fromjk=e43e8fb5ca6d6708,Lahore,Full-time,"Rs 120,000 a month",Entry level,No specific education required,"We are looking for a skilled Python developer with 1.5 - 2 years of experience to join our team at CODING CRAFTS.
You will be responsible for developing and implementing high-quality software solutions, focusing on Python integrations, server-side code, core Python scripting, and working with vectors/vector databases. You will collaborate with other teams in the firm to define, design, and ship new features.
Objectives of this role:
Develop, test, and maintain high-quality software using Python programming language.
Participate in the entire software development lifecycle, building, testing, and delivering high-quality solutions.
Collaborate with cross-functional teams to identify and solve complex problems.
Having experience in 3rd-party integrations
Your tasks:
Create integrations with external systems and APIs using Python.
Develop server-side code and scripts to support application functionality.
Work with vectors/vector databases for data processing and analysis.
Required skills and qualifications:
1.5-2 years of experience as a Python Developer with a strong portfolio of projects.
Bachelor's degree in Computer Science, Software Engineering, or a related field.
In-depth understanding of Python software development stacks, ecosystems, frameworks, and tools.
Familiarity with database technologies such as SQL and NoSQL (AstraDB etc)
Preferred skills and qualifications:
Knowledge of data science and machine learning concepts and tools.
A working understanding of cloud platforms such as AWS, Google Cloud, or Azure.
Contributions to open-source Python projects or active involvement in the Python community.
What you will get;
Market competitive salary
Excellent career growth
Medical coverage
Fuel Allowance
Gym Allowance
Semi-Annual performance based increments
Annual Bonus
Annual paid leaves
Rich and empathetic culture
Fun-filled office working environment not to mention Xbox, table tennis, snacks, fruits, and much more.
If you meet these requirements and are looking for an exciting opportunity to grow your career as a Python developer, we encourage you to apply for this role.
Job Type: Full-time
Pay: From Rs120,000.00 per month
Ability to commute/relocate:
Lahore: Reliably commute or willing to relocate with an employer-provided relocation package (Required)
Experience:
python: 1 year (Required)"
Posted 30+ days ago,"Django / Python Developer
- job post",https://pk.indeed.com/cmp/Xprolabs?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0no5lqj9gv800&fromjk=1078962d8a9bb4cd,Lahore,Full-time,,Entry level,No specific education required,"Company Description

Established in 2019, XPROLABS stands as a vibrant technology, consultancy, and services firm, uniquely committed to steering organizations through groundbreaking business and technology solutions. Our roots go beyond the conventional — we are a group of seasoned entrepreneurs on a collective mission to make a positive impact on millions of lives.

At XPROLABS, we cultivate an environment where individuals don't just work; they thrive, learn, and contribute to the shared success of our journey. Join us in a space where personal growth intertwines with the satisfaction of shared accomplishments.

Job Description

Responsibilities:
Develop and maintain web applications using Django and Python
Collaborate with cross-functional teams to design and implement new features
Troubleshoot and debug issues to ensure optimal performance and reliability
Solid understanding of Django framework and Python programming language

Qualifications

Requirements:
Experience 6 months to 1 year
Solid understanding of Django framework and Python programming language
Experience with front-end technologies such as HTML, CSS, and JavaScript is a plus
Degree in Computer Science, Software Engineering, or related field

Additional Information

If you are passionate about the software industry, possess strong business acumen, and thrive in a dynamic and fast-paced environment, we would love to hear from you."
Active 3 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Ptr-1b0f12a1?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0no9g6k98u800&fromjk=1f6c1bca0109a49e,Islamabad,Full-time,,No experience required,No specific education required,"About the job
PTR Inc. (PTR) is a United States/Germany-based bespoke market research company with a focus on power grid and new energy market research. We are a very lean and fast-moving B2B company, investing and/or pivoting to capture the most market demand possible. Our development team is looking for a Python developer. The position offers high independence and freedom to implement your ideas while working with a highly ambitious team.
As a Python developer at PTR, you will be an integral part of our development team, responsible for crafting high-quality and scalable web applications. The ideal candidate will have 2 to 3 years of hands-on experience in Python, with a focus on Django, JavaScript, web scraping, HTML, and CSS.
Key Responsibilities:
Web application development:
Collaborate with the development team to design, develop, and maintain web applications using Python and the Django framework.
Implement responsive and user-friendly interfaces with HTML, CSS, and JavaScript,Web Scraping.
Develop and implement web scraping solutions to gather and analyze data from various sources.
Optimize and maintain existing web scraping scripts to ensure reliability and efficiency.
Front-end Development:
Work on the client side of our applications, ensuring seamless user experiences through effective implementation of JavaScript, HTML, and CSS.
Qualifications:
Bachelor's degree in Computer Science, Information Technology, or a related field.
1 to 2 years of professional experience in Python development.
Proficiency with Django for web application development.
Experience in front-end technologies, including JavaScript, HTML, and CSS.
Familiarity with web scraping techniques and tools.
Strong problem-solving skills and attention to detail. Additional Skills (Preferred)
Experience with version control systems (e.g., Git).
Knowledge of RESTful APIs.
Familiarity with cloud platforms (e.g., AWS, Azure).
Understanding of Agile/Scrum development methodologies.
Your benefits:
Time when you need it – remote job with flexible hours.
Working with some of the largest companies in the energy transition space (spread over 20 countries).
Steep learning curve in a fast-moving company, competing internationally.
Working with a young, international and highly motivated team across three continents.
Complete ownership of the work in a high impact role.
And of course, market competitive compensation (salary, provident fund, health insurance, trainings, vacation).
Job Type: Full-time
Application Question(s):
How many months of experience in Django
Education:
Bachelor's (Required)"
Active 2 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Onism-Solution-Llc.?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0nocdjjkbc800&fromjk=f9568c5cd515c2f1,Lahore,Full-time,"Rs 100,000 a month",No experience required,Master’s Degree,"Job Description:
We are seeking a highly skilled and experienced Senior Python Developer to join our dynamic team. The ideal candidate will have a deep understanding of AWS Lambda, extensive experience with MySQL and Artificial intelligent. This role involves a significant amount of database work, requiring proficiency in designing, developing, and optimizing complex database systems.
Key Responsibilities:
Development and Deployment of AWS Lambdas: Design, develop, and deploy serverless functions using AWS Lambda in a scalable and efficient manner. Ensure seamless integration of these functions with various AWS services and external systems.
Python Scripting: Write robust and efficient Python scripts for data processing, automation, and integration tasks. Implement best practices in coding and script optimization.
Database Management and Optimization: Manage and optimize MySQL databases for high performance and scalability. Design database schemas, write complex SQL queries, and perform data migration and transformation tasks.
System Integration and API Development: Develop APIs for application integration and data exchange. Ensure reliable integration between AWS services, Lambda functions, and MySQL databases.
Performance Tuning and Monitoring: Monitor and tune system performance, ensuring optimal efficiency and reliability. Utilize AWS monitoring tools to track the performance of Lambda functions and database systems.
Technical Problem Solving: Troubleshoot and resolve complex technical issues related to Python scripts, AWS Lambda, and MySQL databases. Provide innovative solutions to enhance system performance and reliability.
Collaboration and Communication: Work closely with cross-functional teams to understand requirements and provide technical expertise. Document code and system architecture clearly for easy maintenance and future enhancements.
Qualifications:
Bachelor’s or Master’s degree in Computer Science, Information Technology, or a related field.
At least 2-3 years of experience in Python development, with a focus on writing high-quality, maintainable code.
Excellent problem-solving skills and the ability to work in a fast-paced, dynamic environment.
Strong communication and teamwork skills.
Job Type: Full-time
Pay: From Rs100,000.00 per month
Ability to Commute:
Lahore (Required)"
Active 5 days ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Infobay-(smc-Pvt.)-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0nog69jl0j807&fromjk=21070414e0dd1085,Lahore,Full-time,"Rs 60,000 - Rs 100,000 a month",No experience required,No specific education required,"We are seeking a highly skilled and experienced Python Developer with a specialization in AI and Machine Learning to join our dynamic team. As a key member of our development team, you will be instrumental in designing, developing, and deploying cutting-edge AI solutions that drive our company's success.
Responsibilities:
Design and implement machine learning algorithms and models to solve complex problems.
Develop robust, scalable, and efficient code in Python for various AI-driven applications.
Collaborate with cross-functional teams to understand requirements and deliver high-quality software solutions.
Keep abreast of the latest AI and machine learning technologies and methodologies to improve existing systems and make recommendations for future development.
Analyze and process large sets of data to derive useful insights and improve algorithms.
Participate in code reviews, testing, and debugging to ensure the deployment of reliable applications.
Document development processes, algorithms, and architectures for future reference and compliance.
Requirements:
Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
Proven experience as a Python Developer with a focus on AI and machine learning projects.
Strong understanding of machine learning algorithms and statistical modeling techniques.
Experience with machine learning frameworks (e.g., TensorFlow, PyTorch) and libraries (e.g., scikit-learn, NumPy, Pandas).
Proficient in coding and debugging Python applications.
Ability to work with large data sets and databases (SQL, NoSQL).
Excellent problem-solving, analytical, and communication skills.
Passion for innovation and a desire to stay at the forefront of technology.
Job Type: Full-time
Pay: Rs60,000.00 - Rs100,000.00 per month
Experience:
Python Language: 2 years (Required)
AI Machine Learning: 2 years (Preferred)"
Active 3 days ago,"Sr. Python Developer
- job post",https://pk.indeed.com/cmp/Ahu-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0nojbqjl14802&fromjk=84ab041a82eab9d8,Lahore,Full-time,,No experience required,No specific education required,"Designing, developing, and maintaining high-performance and scalable Python applications.
Collaborating with cross-functional teams to define, design, and ship new features.
Writing efficient, reusable, and reliable Python code.
Leading and mentoring junior developers, providing technical guidance and support.
Participating in code reviews, ensuring code quality, and enforcing coding standards.
Analyzing and resolving technical issues and bugs in a timely manner.
Optimizing application performance and scalability through efficient algorithms and database design.
Staying up-to-date with emerging technologies and trends in the Python ecosystem.
Job Type: Full-time
Pay: Rs250,000.00 - Rs350,000.00 per month"
Posted 1 day ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Tekrevol?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0nrja4jl0i80d&fromjk=1a6252fe91ad5342,Karachi,Full-time,,No experience required,No specific education required,"About Tekrevol:
Tekrevol is a leading mobile app development company dedicated to providing businesses with reliable technological solutions. We have helped countless entrepreneurs achieve their goals and drive results by creating top rated mobile apps and websites.
As a global company, our aim isn’t just to create digital solutions but to help businesses achieve sustainable growth and scalability. Our teams and networks stretch across the United States, and have extended its reach to Ukraine & the Middle East.

Job Description:
Write effective, reusable and scalable code.
Develop back-end components to improve reusability and overall performance.
Work on the server-side part of the development including deployments.
Integrate user-facing elements into applications.
integrating applications with third-party web services.
Test and debug programs.
Provide the data security and protection solutions.
Improve functionality of existing projects.
Implement security and data protection solutions.
Assess and prioritize feature requests.
Coordinate with internal teams to understand user requirements and provide technical solutions.
Communicate with other teams to provide analytical and creative solutions.
Good at meeting deadlines.
Requirements:
Work experience as a Python Developer.
Experience level: 3-5 years on Python development.
Strong knowledge of object-oriented programming, coding, and design patterns.
Expertise in Django Framework , REST Framework and at least one other popular Python framework (like Flask, FastAPI or Pyramid).
Experience in working with Python libraries Panda, Numpy, etc. (would be a plus)
Strong unit test and debugging skills.
Knowledge of object-relational mapping (ORM).
Knowledge of developing RESTful APIs
Familiarity with ORM Libraries.
Familiarity with Version Control Systems.
Maintain GIT/BitBucket Repositories.
Maintaining existing Projects
Knowledge of Server Deployments.
Experience working with AWS and GCP.
Fundamentals of Machine learning / AI.
Familiarity with front-end technologies (like React, JavaScript and HTML5).
Third party integrations like Payment Gateways, Social Authentications etc
Good Problem-solving skills.
Experience in working with MySQL, PostgreSQL, MongoDb.
Cloud Messages APIs and Push Notifications
Benefits:
Healthcare coverage (OPD + IPD for employee, spouse, and children – after probation completion)
Provident fund (after probation completion)
Performance-based bonuses
Bi-Annual performance-based evaluation
Pick & drop facility for females (from day one)
Paid Leaves - Casual/Annual/Sick (after probation completion)
Follow US Federal leaves
Shift Timings:
Afternoon Bi (3:00 p.m. – 12:00 a.m.)
6L3ZLie3dN"
Posted 2 days ago,"Senior Python Developer
- job post",https://pk.indeed.com/cmp/Dynamologic-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0nro2ejl1480d&fromjk=d1f33e52f6801306,Islamabad,Full-time,,No experience required,No specific education required,"DynamoLogic Solutions is seeking a talented and experienced Python Developer to join our team. As a Python Developer at DynamoLogic, you will be responsible for developing and maintaining Python-based applications, with hands-on experience in machine learning projects. We are looking for individuals with a proven track record of excellence in Python development and a strong background in machine learning.
Responsibilities:
Develop and maintain Python-based applications, ensuring high performance and responsiveness.
Collaborate with cross-functional teams to define, design, and ship new features.
Identify and correct bottlenecks and fix bugs to ensure the quality of applications.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Work on machine learning projects, including data preprocessing, model development, and evaluation.
Optimize applications for maximum speed and scalability.
Participate in code reviews and provide constructive feedback to team members.
Stay updated with the latest industry trends and best practices in Python development and machine learning.
Requirements:
Bachelor's degree in Computer Science, Engineering, or a related field.
5+ years of experience working as a Python Developer.
Proven experience in Python development, with a strong understanding of the language's core principles.
Experience working on machine learning projects, including familiarity with libraries such as TensorFlow, PyTorch, or scikit-learn.
Solid understanding of data structures, algorithms, and object-oriented programming.
Proficiency in version control tools such as Git.
Excellent problem-solving and analytical skills.
Strong communication and collaboration skills.
Job Type: Full-time
Pay: Up to Rs200,000.00 per month
Application Question(s):
Please fill this form for further consideration: https://forms.gle/PLRk1zmZDAKSr7yK8"
Active 2 days ago,"Python Fullstack developer
- job post",https://pk.indeed.com/cmp/Impressico-Business-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0nrsndjkms801&fromjk=c86f9390426c35b3,Hyderabad,,,No experience required,No specific education required,"Location: Noida / Hyderabad
Experience: 4 to 8 Years
No. Of Openings: 2

Job Description
Impressico is looking for a python full-stack engineer to develop end to end web applications for its clients.
Responsibilities:
– Contributing to all layers of our technology stack including back-end services, databases, API development, and front-end application.
– Expert knowledge of programming concepts and object-oriented programming.
– Understanding of front-end application development.
– Ability to build and design the end-to-end system.
– Excellent in verbal and written communication
– Experience in Agile methodology and development tools.

Good to have
– Open source contributor
– TDD and unit testing
– Understanding of tools like – GIT/SVN, Jira/Trello/Asana.
– Understanding of event-driven programming in Python

Job Specification
Must have
– Object-oriented programming with Python
– Data structure and design patterns.
– Reactjs
– Any one – Azure / AWS / GCP / Heroku"
Posted 1 day ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Tekrevol?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0o0l7c2eig001&fromjk=1a6252fe91ad5342,Karachi,Full-time,,No experience required,No specific education required,"About Tekrevol:
Tekrevol is a leading mobile app development company dedicated to providing businesses with reliable technological solutions. We have helped countless entrepreneurs achieve their goals and drive results by creating top rated mobile apps and websites.
As a global company, our aim isn’t just to create digital solutions but to help businesses achieve sustainable growth and scalability. Our teams and networks stretch across the United States, and have extended its reach to Ukraine & the Middle East.

Job Description:
Write effective, reusable and scalable code.
Develop back-end components to improve reusability and overall performance.
Work on the server-side part of the development including deployments.
Integrate user-facing elements into applications.
integrating applications with third-party web services.
Test and debug programs.
Provide the data security and protection solutions.
Improve functionality of existing projects.
Implement security and data protection solutions.
Assess and prioritize feature requests.
Coordinate with internal teams to understand user requirements and provide technical solutions.
Communicate with other teams to provide analytical and creative solutions.
Good at meeting deadlines.
Requirements:
Work experience as a Python Developer.
Experience level: 3-5 years on Python development.
Strong knowledge of object-oriented programming, coding, and design patterns.
Expertise in Django Framework , REST Framework and at least one other popular Python framework (like Flask, FastAPI or Pyramid).
Experience in working with Python libraries Panda, Numpy, etc. (would be a plus)
Strong unit test and debugging skills.
Knowledge of object-relational mapping (ORM).
Knowledge of developing RESTful APIs
Familiarity with ORM Libraries.
Familiarity with Version Control Systems.
Maintain GIT/BitBucket Repositories.
Maintaining existing Projects
Knowledge of Server Deployments.
Experience working with AWS and GCP.
Fundamentals of Machine learning / AI.
Familiarity with front-end technologies (like React, JavaScript and HTML5).
Third party integrations like Payment Gateways, Social Authentications etc
Good Problem-solving skills.
Experience in working with MySQL, PostgreSQL, MongoDb.
Cloud Messages APIs and Push Notifications
Benefits:
Healthcare coverage (OPD + IPD for employee, spouse, and children – after probation completion)
Provident fund (after probation completion)
Performance-based bonuses
Bi-Annual performance-based evaluation
Pick & drop facility for females (from day one)
Paid Leaves - Casual/Annual/Sick (after probation completion)
Follow US Federal leaves
Shift Timings:
Afternoon Bi (3:00 p.m. – 12:00 a.m.)
6L3ZLie3dN"
Posted 2 days ago,"Senior Python Developer
- job post",https://pk.indeed.com/cmp/Dynamologic-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0o0op6j9j9802&fromjk=d1f33e52f6801306,Islamabad,,,No experience required,No specific education required,"DynamoLogic Solutions is seeking a talented and experienced Python Developer to join our team. As a Python Developer at DynamoLogic, you will be responsible for developing and maintaining Python-based applications, with hands-on experience in machine learning projects. We are looking for individuals with a proven track record of excellence in Python development and a strong background in machine learning.
Responsibilities:
Develop and maintain Python-based applications, ensuring high performance and responsiveness.
Collaborate with cross-functional teams to define, design, and ship new features.
Identify and correct bottlenecks and fix bugs to ensure the quality of applications.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Work on machine learning projects, including data preprocessing, model development, and evaluation.
Optimize applications for maximum speed and scalability.
Participate in code reviews and provide constructive feedback to team members.
Stay updated with the latest industry trends and best practices in Python development and machine learning.
Requirements:
Bachelor's degree in Computer Science, Engineering, or a related field.
5+ years of experience working as a Python Developer.
Proven experience in Python development, with a strong understanding of the language's core principles.
Experience working on machine learning projects, including familiarity with libraries such as TensorFlow, PyTorch, or scikit-learn.
Solid understanding of data structures, algorithms, and object-oriented programming.
Proficiency in version control tools such as Git.
Excellent problem-solving and analytical skills.
Strong communication and collaboration skills.
Job Type: Full-time
Pay: Up to Rs200,000.00 per month
Application Question(s):
Please fill this form for further consideration: https://forms.gle/PLRk1zmZDAKSr7yK8"
Active 2 days ago,"Python Fullstack developer
- job post",https://pk.indeed.com/cmp/Impressico-Business-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0o12mcjkmk800&fromjk=c86f9390426c35b3,Hyderabad,,,No experience required,No specific education required,"Location: Noida / Hyderabad
Experience: 4 to 8 Years
No. Of Openings: 2

Job Description
Impressico is looking for a python full-stack engineer to develop end to end web applications for its clients.
Responsibilities:
– Contributing to all layers of our technology stack including back-end services, databases, API development, and front-end application.
– Expert knowledge of programming concepts and object-oriented programming.
– Understanding of front-end application development.
– Ability to build and design the end-to-end system.
– Excellent in verbal and written communication
– Experience in Agile methodology and development tools.

Good to have
– Open source contributor
– TDD and unit testing
– Understanding of tools like – GIT/SVN, Jira/Trello/Asana.
– Understanding of event-driven programming in Python

Job Specification
Must have
– Object-oriented programming with Python
– Data structure and design patterns.
– Reactjs
– Any one – Azure / AWS / GCP / Heroku"
Posted 1 day ago,"Python Developer
- job post",https://pk.indeed.com/cmp/Tekrevol?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0o3s5gjkmk807&fromjk=1a6252fe91ad5342,Karachi,Full-time,,No experience required,No specific education required,"About Tekrevol:
Tekrevol is a leading mobile app development company dedicated to providing businesses with reliable technological solutions. We have helped countless entrepreneurs achieve their goals and drive results by creating top rated mobile apps and websites.
As a global company, our aim isn’t just to create digital solutions but to help businesses achieve sustainable growth and scalability. Our teams and networks stretch across the United States, and have extended its reach to Ukraine & the Middle East.

Job Description:
Write effective, reusable and scalable code.
Develop back-end components to improve reusability and overall performance.
Work on the server-side part of the development including deployments.
Integrate user-facing elements into applications.
integrating applications with third-party web services.
Test and debug programs.
Provide the data security and protection solutions.
Improve functionality of existing projects.
Implement security and data protection solutions.
Assess and prioritize feature requests.
Coordinate with internal teams to understand user requirements and provide technical solutions.
Communicate with other teams to provide analytical and creative solutions.
Good at meeting deadlines.
Requirements:
Work experience as a Python Developer.
Experience level: 3-5 years on Python development.
Strong knowledge of object-oriented programming, coding, and design patterns.
Expertise in Django Framework , REST Framework and at least one other popular Python framework (like Flask, FastAPI or Pyramid).
Experience in working with Python libraries Panda, Numpy, etc. (would be a plus)
Strong unit test and debugging skills.
Knowledge of object-relational mapping (ORM).
Knowledge of developing RESTful APIs
Familiarity with ORM Libraries.
Familiarity with Version Control Systems.
Maintain GIT/BitBucket Repositories.
Maintaining existing Projects
Knowledge of Server Deployments.
Experience working with AWS and GCP.
Fundamentals of Machine learning / AI.
Familiarity with front-end technologies (like React, JavaScript and HTML5).
Third party integrations like Payment Gateways, Social Authentications etc
Good Problem-solving skills.
Experience in working with MySQL, PostgreSQL, MongoDb.
Cloud Messages APIs and Push Notifications
Benefits:
Healthcare coverage (OPD + IPD for employee, spouse, and children – after probation completion)
Provident fund (after probation completion)
Performance-based bonuses
Bi-Annual performance-based evaluation
Pick & drop facility for females (from day one)
Paid Leaves - Casual/Annual/Sick (after probation completion)
Follow US Federal leaves
Shift Timings:
Afternoon Bi (3:00 p.m. – 12:00 a.m.)
6L3ZLie3dN"
Posted 2 days ago,"Senior Python Developer
- job post",https://pk.indeed.com/cmp/Dynamologic-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0o3vt32ek3000&fromjk=d1f33e52f6801306,Islamabad,,,No experience required,No specific education required,"DynamoLogic Solutions is seeking a talented and experienced Python Developer to join our team. As a Python Developer at DynamoLogic, you will be responsible for developing and maintaining Python-based applications, with hands-on experience in machine learning projects. We are looking for individuals with a proven track record of excellence in Python development and a strong background in machine learning.
Responsibilities:
Develop and maintain Python-based applications, ensuring high performance and responsiveness.
Collaborate with cross-functional teams to define, design, and ship new features.
Identify and correct bottlenecks and fix bugs to ensure the quality of applications.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Work on machine learning projects, including data preprocessing, model development, and evaluation.
Optimize applications for maximum speed and scalability.
Participate in code reviews and provide constructive feedback to team members.
Stay updated with the latest industry trends and best practices in Python development and machine learning.
Requirements:
Bachelor's degree in Computer Science, Engineering, or a related field.
5+ years of experience working as a Python Developer.
Proven experience in Python development, with a strong understanding of the language's core principles.
Experience working on machine learning projects, including familiarity with libraries such as TensorFlow, PyTorch, or scikit-learn.
Solid understanding of data structures, algorithms, and object-oriented programming.
Proficiency in version control tools such as Git.
Excellent problem-solving and analytical skills.
Strong communication and collaboration skills.
Job Type: Full-time
Pay: Up to Rs200,000.00 per month
Application Question(s):
Please fill this form for further consideration: https://forms.gle/PLRk1zmZDAKSr7yK8"
Active 2 days ago,"Python Fullstack developer
- job post",https://pk.indeed.com/cmp/Impressico-Business-Solutions?campaignid=mobvjcmp&from=mobviewjob&tk=1hs0o49vljl14801&fromjk=c86f9390426c35b3,Hyderabad,,,No experience required,No specific education required,"Location: Noida / Hyderabad
Experience: 4 to 8 Years
No. Of Openings: 2

Job Description
Impressico is looking for a python full-stack engineer to develop end to end web applications for its clients.
Responsibilities:
– Contributing to all layers of our technology stack including back-end services, databases, API development, and front-end application.
– Expert knowledge of programming concepts and object-oriented programming.
– Understanding of front-end application development.
– Ability to build and design the end-to-end system.
– Excellent in verbal and written communication
– Experience in Agile methodology and development tools.

Good to have
– Open source contributor
– TDD and unit testing
– Understanding of tools like – GIT/SVN, Jira/Trello/Asana.
– Understanding of event-driven programming in Python

Job Specification
Must have
– Object-oriented programming with Python
– Data structure and design patterns.
– Reactjs
– Any one – Azure / AWS / GCP / Heroku"
